#,"Country","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
,World,"136,641,901",#ERROR!,"2,949,409",248,"109,881,553","23,810,939","103,437","17,530",378.4,,,
1,United States,"31,918,591",,"575,829",,"24,480,522","6,862,240","9,172","95,993","1,732","419,387,284","1,261,274","332,510,877"
2,India,"13,527,717",#ERROR!,"170,209",,"12,156,529","1,200,979","8,944","9,728",122,"257,806,986","185,402","1,390,530,992"
3,Brazil,"13,482,543",,"353,293",,"11,880,803","1,248,447","8,318","63,081","1,653","28,600,000","133,812","213,732,948"
4,France,"5,058,680",,"98,750",,"309,787","4,650,143","5,838","77,367","1,510","69,627,924","1,064,877","65,385,892"
5,Russia,"4,641,390",,"102,986",,"4,265,509","272,895","2,300","31,794",705,"123,700,000","847,358","145,983,181"
6,United Kingdom,"4,369,775",,"127,087",,"3,972,029","270,659",406,"64,108","1,864","134,289,127","1,970,113","68,163,171"
7,Turkey,"3,849,011",,"33,939",,"3,331,411","483,661","2,824","45,260",399,"41,591,854","489,069","85,042,925"
8,Italy,"3,769,814",,"114,254",,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563"
9,Spain,"3,347,512",,"76,328",,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878"
10,Germany,"3,009,541",,"78,964",,"2,683,900","246,677","4,515","35,831",940,"51,559,277","613,857","83,992,315"
11,Poland,"2,574,631",,"58,421",,"2,171,301","344,909","3,459","68,086","1,545","12,912,603","341,474","37,814,322"
12,Colombia,"2,536,198",,"65,889",,"2,383,785","86,524","3,079","49,435","1,284","13,314,269","259,520","51,303,536"
13,Argentina,"2,532,562",,"57,779",,"2,233,140","241,643","3,789","55,639","1,269","9,590,737","210,704","45,517,627"
14,Mexico,"2,280,213",#ERROR!,"209,338",126,"1,809,921","260,954","4,798","17,542","1,610","6,273,107","48,261","129,983,471"
15,Iran,"2,070,141",,"64,490",,"1,710,974","294,677","4,392","24,405",760,"13,673,466","161,194","84,826,064"
16,Ukraine,"1,853,249",,"37,014",,"1,410,860","405,375",177,"42,575",850,"8,622,424","198,086","43,528,763"
17,Peru,"1,647,694",,"54,903",,"1,566,543","26,248","2,302","49,439","1,647","10,001,832","300,106","33,327,621"
18,Czech Republic,"1,580,189",,"27,808",,"1,449,052","103,329","1,220","147,345","2,593","14,308,617","1,334,206","10,724,441"
19,Indonesia,"1,566,995",,"42,530",,"1,414,507","109,958",,"5,682",154,"13,386,975","48,545","275,767,009"
20,South Africa,"1,558,458",,"53,322",,"1,483,296","21,840",546,"26,023",890,"10,138,936","169,298","59,888,210"
21,Netherlands,"1,350,665",,"16,771","215,716",N/A,"215,716",781,"78,690",977,"11,292,587","657,909","17,164,371"
22,Chile,"1,076,499",,"24,346",,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575"
23,Canada,"1,060,158",,"23,315",,"963,396","73,447",928,"27,900",614,"28,999,787","763,172","37,999,006"
24,Romania,"1,006,167",,"25,135",,"906,659","74,373","1,531","52,576","1,313","7,687,854","401,716","19,137,541"
25,Iraq,"924,946",,"14,713",,"814,853","95,380",436,"22,604",360,"8,508,732","207,940","40,919,097"
26,Belgium,"922,487",,"23,428",,"59,432","839,627",925,"79,328","2,015","11,670,137","1,003,551","11,628,838"
27,Philippines,"864,868",,"14,945",,"703,404","146,519",751,"7,812",135,"10,764,163","97,228","110,711,091"
28,Sweden,"857,401",,"13,621",,N/A,"155,963",376,"84,488","1,342","7,847,033","773,245","10,148,191"
29,Israel,"835,933",,"6,296",,"826,205","3,432",259,"90,886",685,"13,740,302","1,493,902","9,197,590"
30,Portugal,"827,494",,"16,916",,"784,618","25,960",113,"81,338","1,663","9,363,361","920,365","10,173,535"
31,Pakistan,"725,602",#ERROR!,"15,501",58,"634,835","75,266","4,201","3,236",69,"10,779,474","48,078","224,206,949"
32,Hungary,"720,164",,"23,417",,"426,394","270,353","1,290","74,696","2,429","4,934,786","511,842","9,641,234"
33,Bangladesh,"684,756",,"9,739",,"576,590","98,427",,"4,126",59,"5,002,865","30,145","165,962,319"
34,Jordan,"665,735",,"7,773",,"596,293","61,669",729,"64,749",756,"6,320,767","614,758","10,281,719"
35,Serbia,"642,208",,"5,735",,"555,672","80,801",266,"73,733",658,"3,588,296","411,978","8,709,929"
36,Switzerland,"617,543",,"10,453",,"557,566","49,524",189,"70,951","1,201","6,339,396","728,350","8,703,776"
37,Austria,"577,007",,"9,687",,"535,798","31,522",602,"63,784","1,071","26,679,075","2,949,160","9,046,331"
38,Japan,"503,403",,"9,382",,"463,725","30,296",520,"3,990",74,"10,430,419","82,667","126,174,664"
39,Morocco,"502,102",,"8,900",,"488,361","4,841",237,"13,479",239,"6,101,279","163,794","37,249,722"
40,Lebanon,"496,846",,"6,661",,"402,172","88,013",833,"73,048",979,"3,694,320","543,154","6,801,609"
41,United Arab Emirates,"483,747",,"1,531",,"468,456","13,760",,"48,457",153,"40,263,802","4,033,223","9,983,033"
42,Saudi Arabia,"398,435",,"6,754",,"383,321","8,360",915,"11,308",192,"15,797,442","448,364","35,233,544"
43,Bulgaria,"371,993",,"14,418",,"286,258","71,317",797,"53,853","2,087","2,270,329","328,671","6,907,614"
44,Slovakia,"371,062",,"10,565",,"255,300","105,197",510,"67,939","1,934","2,439,970","446,742","5,461,701"
45,Malaysia,"360,856",,"1,329",,"343,953","15,574",183,"11,040",41,"8,204,996","251,014","32,687,354"
46,Panama,"358,611",,"6,163",,"348,231","4,217",105,"82,112","1,411","2,239,526","512,790","4,367,339"
47,Ecuador,"346,817",,"17,293",,"290,314","39,210",601,"19,429",969,"1,193,846","66,880","17,850,462"
48,Belarus,"336,038",,"2,354",,"326,487","7,197",,"35,571",249,"5,553,937","587,911","9,446,902"
49,Greece,"295,480",,"8,885",,"251,244","35,351",780,"28,457",856,"7,088,799","682,709","10,383,345"
50,Croatia,"292,516",,"6,308",,"272,967","13,241",182,"71,598","1,544","1,639,110","401,201","4,085,513"
51,Georgia,"288,396",,"3,877",,"277,303","7,216",,"72,403",973,"3,671,403","921,722","3,983,201"
52,Azerbaijan,"285,993",,"3,915",,"250,708","31,370",,"28,011",383,"3,018,445","295,633","10,210,105"
53,Bolivia,"282,095",525,"12,451",9,"231,546","38,098",71,"23,914","1,055","989,217","83,858","11,796,372"
54,Nepal,"280,028",,"3,040",,"274,027","2,961",,"9,479",103,"2,312,901","78,292","29,542,041"
55,Tunisia,"271,861",,"9,293",,"224,907","37,661",413,"22,818",780,"1,180,807","99,106","11,914,543"
56,Kazakhstan,"271,809",#ERROR!,"3,236",15,"234,665","33,908",221,"14,343",171,"9,217,159","486,373","18,950,814"
57,Palestine,"268,132",,"2,860",,"232,960","32,312",185,"51,634",551,"1,636,553","315,152","5,192,907"
58,Dominican Republic,"257,698",,"3,388",,"216,452","37,858",151,"23,572",310,"1,347,004","123,213","10,932,304"
59,Kuwait,"247,094",,"1,407",,"231,240","14,447",225,"57,205",326,"2,159,422","499,927","4,319,474"
60,Moldova,"241,217",,"5,388",,"222,927","12,902",307,"59,905","1,338","902,202","224,057","4,026,657"
61,Ireland,"240,945",,"4,785",,"23,364","212,796",53,"48,377",961,"4,168,990","837,053","4,980,557"
62,Denmark,"237,792",,"2,441",,"226,630","8,721",38,"40,942",420,"29,118,371","5,013,438","5,808,065"
63,Paraguay,"235,292",,"4,827",,"193,286","37,179",442,"32,677",670,"975,187","135,434","7,200,447"
64,Ethiopia,"228,996",,"3,174",,"170,633","55,189",971,"1,955",27,"2,445,578","20,874","117,159,125"
65,Slovenia,"226,499",,"4,119",,"208,561","13,819",139,"108,938","1,981","1,103,860","530,916","2,079,160"
66,Lithuania,"226,173",,"3,687",,"205,897","16,589",150,"83,999","1,369","2,490,755","925,044","2,692,579"
67,Costa Rica,"222,544",,"3,018",,"194,760","24,766",199,"43,379",588,"842,015","164,128","5,130,219"
68,Egypt,"210,489",,"12,445",,"159,499","38,545",90,"2,027",120,"2,677,262","25,786","103,826,342"
69,Guatemala,"203,071",,"7,016",,"185,549","10,506",5,"11,175",386,"1,107,251","60,932","18,171,777"
70,Armenia,"202,817",,"3,735",,"181,963","17,119",,"68,345","1,259","902,716","304,195","2,967,553"
